,instruction,Category
9532,I have to inform of a bloody payment issue,Order
9533,help knowing if there is anything new on the restitution,Cancellations and returns
9534,have a question about my {{Account Category}} account cancellation,Login and Account
9535,I expect a compensation of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
9536,i need help speaking to somebody,Warranty
9537,can you help me seeing your available payment options?,Order
9538,can i order from {{Delivery City}},Shipping
9539,opening gold account,Login and Account
9540,what do I need to do to sign up to your newsletter?,Login and Account
9541,I do not know what to do to check the termination fees,Cancellations and returns
9542,can you help me notifying of issues with a registration?,Login and Account
9543,Iexpect a restitution of {{Refund Amount}} dollars,Cancellations and returns
9544,I want assistance to check how long refunds usually take,Cancellations and returns
9545,I do not know what I need to do to make na order,Order
9546,find my bill from {{Person Name}},Shipping
9547,I do not know what I have to do to speak with a damn agent,Warranty
9548,want help to report problems with online payment,Order
9549,want assistance using the {{Account Category}}  profile,Login and Account
9550,i dont know what to do to inform of a bloody signup problem,Login and Account
9551,"I don't want to chat with a bot, transfer to me someone",Warranty
9552,I want help to talk to an assistant,Warranty
9553,I do not know how to demand a reimbursement,Cancellations and returns
9554,I have to take a  quick look at my invoice from {{Person Name}},Shipping
9555,I want help leaving a review about a product,Shopping
9556,need to file a consumer reclamation help  me,Shopping
9557,I want to remove some articles  from order {{Order Number}},Order
9558,I do not know how I can speam with customer support,Warranty
9559,assistance using the {{Account Category}} profile,Login and Account
9560,where to check what shipment options i have,Shipping
9561,create account,Login and Account
9562,i ned assistance to ask for a reimbursement,Cancellations and returns
9563,want assistance sending feedbakc about a product,Shopping
9564,need to reset the password  of my user account,Login and Account
9565,I'm waiting for a refund of {{Refund Amount}} dollars,Cancellations and returns
9566,assistance to give a quick look at the bill #12588,Shipping
9567,"I haven't signed up, I need to create a {{Account Category}} account",Login and Account
9568,i need assistance to add something to order {{Order Number}},Order
9569,i dont know  how i can see the cancellation penalty,Cancellations and returns
9570,do you ship  to {{Delivery Country}}?,Shipping
9571,I want help downloading bill #00108,Shipping
9572,give me informatipn about the termination of a pro account,Login and Account
9573,assistance changing the delivery address,Shipping
9574,I need to lodge a customer claim against your business,Shopping
9575,I try to order some of your article,Order
9576,is it possible to recover my account pwd,Login and Account
9577,can I see if there is anything new on the reimbursement?,Cancellations and returns
9578,how can I erdit purchase {{Order Number}}?,Order
9579,want help closing a {{Account Category}} account,Login and Account
9580,i want help to check ur available payment options,Order
9581,can you help me check if there are any news on my refund?,Cancellations and returns
9582,ik do not know how i can notify of a sign-up problem,Login and Account
9583,checking the available options for shipment,Shipping
9584,notify of fucking payment issues,Order
9585,I expect a rebate of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
9586,I need help seeing in which cases can I ask for a reufnd,Cancellations and returns
9587,I need to see if there are any updates on my rebate,Cancellations and returns
9588,where to create a standard account for my dad,Login and Account
9589,i need assistance to talk with someone,Warranty
9590,upddate order {{Order Number}},Order
9591,where to check what payment payment modalities you accept?,Order
9592,I want help resetting the password of my user profile,Login and Account
9593,I have to check in what cases can I request my money back,Cancellations and returns
9594,I do not know how to leave some feedback about a product,Shopping
9595,how can i see the early exit charge,Cancellations and returns
9596,order 113542617735902current status,Order
9597,can you help me switch an item of order {{Order Number}}?,Order
9598,help me to recover my pin,Login and Account
9599,where can I see what hours I can reach customer assistance?,Warranty
9600,where do I notify of a payment problem?,Order
9601,want assistance to file a reclamation against your business,Shopping
9602,do ya ship toHungary,Shipping
9603,"I don't have a bloody standard account, can I open one?",Login and Account
9604,what do I have to do to chat with an operator?,Warranty
9605,chnge data on gold account,Login and Account
9606,"I have got to see the accepted payment options, I need help",Order
9607,there is anything new on my rebate,Cancellations and returns
9608,can you help me check bill #12588?,Shipping
9609,i cant pay i need help reporting problems with payments,Order
9610,support submitting a new delivery address,Shipping
9611,what do I need to do to request my money baqck?,Cancellations and returns
9612,show the available methods for shipment,Shipping
9613,"I can't pay, where do I report errors with payment?",Order
9614,i dont know how i can get refunds,Cancellations and returns
9615,need help to check ur payment methods,Order
9616,i have got to download my invoice #12588 how do i do it,Shipping
9617,i need help changing some articles of order {{Order Number}},Order
